,text,created_at,id_str,Sentiment
0,congratul futur republican star marjori taylor green big congression primari win georgia tough smart marjori strong everyth never give real,08-12-2020 12:29:29,1.2935250105235784e+18,pos
1,watch last week first time long total shot look terribl exhaust gaunt if ever good reason shutdown check he never much go whatev miss,08-12-2020 12:11:05,1.2935203779525673e+18,neg
2,the vote they want safeti thrill i end long run program low incom hous would invad biden would reinstal bigger form corey booker,08-12-2020 11:59:42,1.2935175147989606e+18,neg
3,approv rate republican thank also lead swing,08-12-2020 11:44:41,1.2935137355339244e+18,neg
4,start strong democrat primari finish weak ultim flee race almost zero kind oppon everyon dream,08-12-2020 11:33:14,1.293510853074051e+18,neg
5,,08-12-2020 02:06:28,1.2933682204985057e+18,neg
6,sad see damag derecho mile per hour wind midway the feder govern close coordin state we way stay safe,08-11-2020 23:56:13,1.2933354458798203e+18,pos
7,thank sheriff gonzal bernalillo counti new mexico join call appreci partnership help make counti safe great comment oper,08-11-2020 23:55:02,1.2933351447750042e+18,pos
8,will interview tonight,08-11-2020 22:31:59,1.2933142440086446e+18,neg
9,news confer,08-11-2020 21:06:42,1.2932927847036723e+18,neg
10,,08-11-2020 20:39:33,1.2932859499174953e+18,neg
11,big stock market,08-11-2020 12:34:14,1.2931638182820946e+18,neg
12,more test good thing equal case fake news they use case demean incred job done great men women fight china,08-11-2020 12:33:47,1.2931637041886454e+18,pos
13,call american intellig dirti cop proven sleazebag highest level like jame comey proven liar jame clapper perhap lowest wacko john brennan head cia could perhap understand reluct,08-11-2020 11:45:06,1.2931514540693914e+18,neg
14,john bolton one dumbest peopl met govern sadli met plenti state often i respect even trust vladimir putin russia intellig while cours true first peopl met,08-11-2020 11:45:06,1.2931514530293228e+18,neg
15,white hous extrem interest import so mani good stori someon unlik call writer actual part action go buy book job well,08-11-2020 11:06:14,1.293141672440877e+18,pos
16,great new book former director oval offic oper madelein westerhout entitl when i look fake book garbag written realli nice see smart alreadi wise young woman write honest depict,08-11-2020 11:06:14,1.2931416715096596e+18,pos
17,,08-10-2020 23:20:41,1.292964115003179e+18,neg
18,white hous news confer today,08-10-2020 19:38:17,1.2929081439204557e+18,UNCERTAIN
19,play colleg,08-10-2020 18:13:19,1.2928867636907459e+18,neg
20,work save minneapoli along great nation guard local polit leader fail jason complet total,08-10-2020 17:49:00,1.2928806422760366e+18,neg
21,jason lewi incred senat state he proven leader help us lower tax protect commun defend second,08-10-2020 17:49:00,1.2928806413113344e+18,neg
22,my friend congressman tremend job peopl he strongli support brave law enforc nation guard fight vet work hard cut tom complet total,08-10-2020 17:46:59,1.2928801340227953e+18,neg
23,congressman fight peopl northeastern a former profession hockey player pete know he stand law enforc small busi pete complet total,08-10-2020 17:46:28,1.2928800041839206e+18,neg
24,congressman jim hagedorn incred advoc he fight farmer vet small busi strongli defend second jim complet total,08-10-2020 17:45:45,1.2928798242105958e+18,UNCERTAIN
25,congratul big primari win governor you complet total,08-10-2020 17:45:19,1.2928797157752504e+18,neg
26,vote michel real,08-10-2020 17:44:57,1.2928796221458145e+18,UNCERTAIN
27,congrat gener bath iron work local reach tent agreement long gd build great super boost main glad done lot,08-10-2020 17:38:26,1.2928779844881981e+18,neg
28,the work hard season,08-10-2020 17:20:44,1.292873531382993e+18,neg
29,we narrow presidenti nomin accept speech deliv final night convent two locat the great battlefield gettysburg pennsylvania white hous washington we announc decis,08-10-2020 17:15:55,1.2928723185622057e+18,neg
30,thank senat bill cassidi louisiana smart word sign execut,08-10-2020 15:00:04,1.2928381305261588e+18,pos
31,portland control final almost month bring nation the mayor governor put live they held the guard readi act the courthous secur,08-10-2020 14:55:55,1.292837084152107e+18,neg
32,rino ben sass need support endors order get republican nomin senat great state nebraska got presid gone rogu thi foolish play right hand radic left,08-10-2020 14:39:28,1.292832946077008e+18,neg
33,so schumer pelosi want meet make amaz work where last week want bailout money democrat run state citi fail they know phone,08-10-2020 13:10:34,1.2928105746032026e+18,neg
34,made fool got taken apart last day favorit time administr fire make fool anthoni loser beg come i said,08-10-2020 01:45:34,1.2926381868423373e+18,neg
35,thi fake news fail bad rate never suggest although base mani thing accomplish first year perhap presid sound like good idea,08-10-2020 01:07:26,1.2926285904257597e+18,neg
36,,08-10-2020 01:07:17,1.2926285519262638e+18,neg
37,,08-08-2020 23:19:29,1.2922390349667738e+18,neg
38,major news confer ten,08-08-2020 20:05:54,1.2921903198454784e+18,neg
39,sleepi joe biden agre radic left democrat rais tax three trillion everyon pay will kill stock big,08-08-2020 19:28:59,1.2921810295418798e+18,neg
40,big win tennesse congratul they love countri love great strong crime militari vet second they complet total,08-07-2020 22:58:31,1.2918713701970412e+18,pos
41,i news confer chinaviru announc good econom number improv economi bedminst new also subject beirut lebanon catastroph,08-07-2020 22:32:51,1.2918649115099382e+18,UNCERTAIN
42,confer call sunday presid macron leader lebanon leader variou part everyon want,08-07-2020 22:31:12,1.2918644965716664e+18,pos
43,afternoon spoke presid aoun lebanon inform larg aircraft way load medic suppli food also first respond technician doctor nurs,08-07-2020 22:31:12,1.291864495648891e+18,UNCERTAIN
44,had lengthi discuss morn presid macron franc concern numer subject particular catastroph event took place beirut,08-07-2020 22:31:11,1.2918644946087322e+18,neg
45,pelosi schumer interest bailout money poorli run democrat citi noth china want one trillion no we go differ,08-07-2020 21:03:57,1.2918425400235581e+18,neg
46,,08-07-2020 14:55:17,1.2917497615114568e+18,neg
47,,08-07-2020 14:49:00,1.291748179726209e+18,neg
48,great job,08-07-2020 13:48:00,1.291732831102804e+18,pos
49,after statement sleepi joe biden longer worthi black,08-07-2020 13:06:23,1.2917223554719416e+18,neg
50,thi biggest polit crime scandal american hope good countri come,08-07-2020 12:51:59,1.2917187312243057e+18,neg
51,thank,08-07-2020 12:49:15,1.2917180432619684e+18,neg
52,thank,08-07-2020 12:48:42,1.291717905239937e+18,neg
53,sleepi joe biden lost black thi statement disast,08-07-2020 12:34:36,1.2917143564855255e+18,neg
54,i call politic china viru radic left democrat hoax china viru everybodi know except fake corrupt,08-07-2020 12:30:03,1.2917132140661842e+18,neg
55,,08-07-2020 00:41:55,1.2915350034660966e+18,neg
56,we win ohio even bigger maga stronger ever,08-06-2020 21:59:57,1.2914942449439089e+18,neg
57,,08-06-2020 18:37:19,1.291443251803816e+18,neg
58,just like radic left new york tri destroy nra biden becom presid great second amend your gun taken away immedi without no polic,08-06-2020 18:07:34,1.2914357655751762e+18,UNCERTAIN
59,joe african american commun latino commun is incred divers via joe biden lost entir african american what thing,08-06-2020 17:11:08,1.291421560658473e+18,pos
60,just depart great state,08-06-2020 16:51:40,1.2914166620595446e+18,pos
61,upon depart oval offic ohio notifi staff continu work execut order respect payrol tax cut evict protect unemploy extens student loan repay,08-06-2020 15:56:39,1.2914028192878141e+18,neg
62,how voter send ballot start case one month first presidenti move first debat a debat public joe biden i owe american,08-06-2020 11:44:48,1.291339436727382e+18,pos
63,two wonder,08-06-2020 04:25:00,1.2912287574375793e+18,neg
64,salli yate either lie grossli it possibl could known littl dirti cop jame comey high posit depart the polit crime centuri idea,08-06-2020 04:06:36,1.291224128427643e+18,neg
